cycle,(LPC outlet temperature) (◦R),(LPT outlet temperature) (◦R),(HPC outlet pressure) (psia),(HPC outlet Static pressure) (psia),(Ratio of fuel flow to Ps30) (pps/psia),(Bypass Ratio) ,(Bleed Enthalpy),(High-pressure turbines Cool air flow),(Low-pressure turbines Cool air flow),RUL
174,642.49,1397.74,553.78,47.57,521.19,8.4332,391,38.72,23.2779,85
175,642.68,1412.11,553.42,47.66,521.59,8.4237,394,38.62,23.1631,84
176,642.28,1415.24,553.17,47.48,521.06,8.428,393,38.91,23.2682,83
177,642.84,1410.93,553.6,47.38,521.66,8.4442,394,38.81,23.3785,82
178,642.67,1411.27,553.2,47.49,521.47,8.3954,391,38.66,23.3998,81
179,643.0,1400.94,553.07,47.7,521.34,8.4465,393,38.7,23.3864,80
180,642.74,1405.0,553.18,47.45,522.0,8.4947,393,39.0,23.2174,79
181,642.36,1412.01,553.78,47.54,521.47,8.47,394,38.77,23.2754,78
182,642.8,1408.38,553.55,47.54,521.48,8.4141,394,38.94,23.2421,77
183,642.8,1410.52,552.82,47.54,521.5,8.4391,392,38.92,23.2958,76
184,642.51,1411.6,553.19,47.31,521.22,8.4299,393,38.88,23.2048,75
185,642.78,1404.86,553.48,47.61,521.51,8.4591,394,38.89,23.3153,74
186,642.48,1403.32,553.17,47.7,521.22,8.4367,393,38.76,23.2934,73
187,642.86,1411.99,553.52,47.7,521.34,8.4262,393,38.84,23.2253,72
188,642.9,1412.29,553.51,47.67,521.14,8.4576,394,38.8,23.2395,71
189,642.8,1412.55,553.24,47.42,521.13,8.4633,393,38.63,23.1979,70
190,642.69,1415.28,553.74,47.58,521.61,8.4669,394,38.96,23.257,69
191,642.46,1411.57,553.03,47.58,520.54,8.4436,394,38.7,23.2104,68
192,642.86,1410.83,552.67,47.47,521.58,8.436,393,38.69,23.3127,67
193,642.13,1409.17,553.42,47.81,521.3,8.4052,394,38.75,23.2723,66
194,642.53,1405.47,552.63,47.47,521.59,8.4198,395,38.86,23.2208,65
195,642.42,1412.3,552.33,47.66,521.07,8.4353,395,38.8,23.2506,64
196,642.89,1414.59,553.03,47.64,520.89,8.5004,394,38.67,23.2805,63
197,642.72,1411.61,553.37,47.54,521.09,8.4694,395,38.77,23.2351,62
198,642.67,1407.03,552.71,47.59,521.46,8.4257,395,38.63,23.2046,61
199,642.5,1406.95,553.53,47.62,521.57,8.4145,395,38.72,23.3473,60
200,642.33,1415.32,553.4,47.71,520.7,8.4652,394,38.85,23.317,59
201,642.44,1410.91,553.07,47.44,521.37,8.4671,393,38.85,23.1116,58
202,642.91,1417.06,553.13,47.55,521.1,8.4857,393,38.72,23.3375,57
203,642.88,1411.74,552.47,47.66,521.47,8.4414,393,38.89,23.288,56
204,642.8,1417.15,552.96,47.59,521.02,8.5011,394,38.65,23.3043,55
205,642.78,1415.44,552.95,47.58,521.62,8.4619,393,38.79,23.2074,54
206,643.48,1403.14,553.47,47.42,520.93,8.4322,395,38.8,23.2442,53
207,642.98,1413.89,552.98,47.81,521.11,8.4815,395,38.88,23.3537,52
208,642.81,1407.37,553.58,47.65,520.94,8.4694,395,38.92,23.2286,51
209,642.67,1418.83,552.4,47.72,520.96,8.4664,396,38.65,23.3284,50
210,643.04,1418.31,553.14,47.76,521.08,8.461,394,38.77,23.2624,49
211,642.97,1419.64,553.14,47.58,521.24,8.4667,394,38.49,23.2027,48
212,642.93,1411.21,552.58,47.84,521.24,8.4574,395,38.73,23.2246,47
213,642.51,1414.91,553.05,47.96,521.05,8.4807,395,38.56,23.1737,46
214,642.87,1415.25,553.41,47.74,521.44,8.4723,395,38.66,23.2265,45
215,642.23,1417.42,552.95,47.94,521.17,8.4582,394,38.66,23.2131,44
216,642.94,1418.23,553.47,47.78,520.7,8.4858,396,38.6,23.2425,43
217,643.26,1418.59,552.24,47.71,521.18,8.4958,396,38.65,23.1888,42
218,642.93,1418.41,552.67,47.76,521.2,8.4701,395,38.61,23.0657,41
219,642.92,1417.93,552.44,47.83,520.96,8.4666,395,38.66,23.182,40
220,642.89,1416.42,553.2,47.75,520.9,8.4495,395,38.72,23.1952,39
221,643.21,1416.66,552.35,47.76,521.51,8.4509,397,38.72,23.2386,38
222,643.44,1416.17,552.45,47.89,521.0,8.485,395,38.53,23.2318,37
223,642.46,1411.45,553.06,47.95,520.98,8.4877,395,38.88,23.1761,36
224,643.34,1423.7,552.49,47.79,521.02,8.4729,395,38.38,23.2119,35
225,643.1,1404.63,552.11,47.58,520.3,8.4919,395,38.67,23.1872,34
226,642.85,1417.37,552.49,47.77,520.7,8.4716,395,38.57,23.1233,33
227,643.3,1416.6,551.9,47.98,520.73,8.4869,395,38.7,23.2282,32
228,643.59,1423.21,552.01,47.69,520.44,8.4711,393,38.77,23.275,31
229,643.53,1418.82,552.58,47.76,520.43,8.5182,395,38.69,23.0911,30
230,643.66,1418.61,551.88,47.86,520.55,8.4526,395,38.53,23.1294,29
231,643.03,1415.67,553.04,47.8,520.54,8.477,395,38.7,23.1564,28
232,643.48,1412.12,552.42,47.92,520.45,8.4756,396,38.58,23.0741,27
233,642.87,1420.78,551.64,47.88,521.63,8.5079,394,38.62,23.2648,26
234,643.51,1424.95,552.84,47.83,520.55,8.46,396,38.61,23.1713,25
235,643.06,1419.33,552.44,47.84,520.6,8.4973,395,38.68,23.1397,24
236,643.14,1417.66,552.6,47.91,520.92,8.4736,395,38.6,23.1665,23
237,643.45,1414.51,551.59,48.03,520.6,8.5253,392,38.47,23.1135,22
238,643.21,1419.91,552.25,47.89,520.49,8.4559,395,38.46,23.1676,21
239,643.13,1427.17,552.56,47.94,519.61,8.4994,396,38.68,23.2434,20
240,643.32,1409.01,551.48,47.95,520.18,8.4763,395,38.64,23.071,19
241,643.14,1409.01,552.52,47.95,520.26,8.5086,396,38.46,23.1039,18
242,643.45,1420.94,551.63,47.82,520.3,8.4831,394,38.52,23.1649,17
243,643.5,1417.37,551.88,48.05,520.17,8.517,396,38.51,23.3222,16
244,643.11,1428.04,551.49,47.94,520.26,8.5106,397,38.55,23.1399,15
245,642.5,1426.25,551.82,47.92,519.86,8.5085,396,38.6,23.1415,14
246,643.41,1409.01,552.23,48.16,519.97,8.4742,395,38.58,23.0662,13
247,643.47,1424.71,551.26,48.13,520.15,8.5149,396,38.62,23.1767,12
248,643.87,1427.14,552.06,47.9,519.58,8.5117,397,38.38,23.0795,11
249,643.13,1422.5,552.73,48.02,520.01,8.4859,396,38.51,23.073,10
250,642.5,1421.79,551.2,48.07,521.63,8.4925,397,38.7,23.1371,9
251,643.83,1427.83,551.43,48.03,520.21,8.5101,396,38.5,23.0912,8
252,643.91,1409.01,551.21,47.46,521.63,8.5229,396,38.45,23.1259,7
253,643.53,1421.13,551.61,47.46,521.63,8.5007,397,38.52,23.0652,6
254,643.56,1423.7,553.62,47.98,521.63,8.4309,393,38.63,23.0196,5
255,643.45,1422.76,551.17,48.15,519.88,8.5001,395,38.55,23.0458,4
256,643.35,1428.37,551.31,47.96,520.21,8.5104,395,38.53,23.126,3
257,642.5,1421.92,551.28,47.46,519.65,8.4309,396,38.4,23.0286,2
258,643.56,1425.91,551.59,48.05,521.63,8.4309,396,38.5,23.3222,1
259,642.5,1409.01,551.97,47.97,521.63,8.5162,396,38.46,23.0596,0
1,643.18,1409.75,552.31,47.3,521.23,8.4808,393,38.9,23.3468,125
2,642.92,1410.81,552.74,47.62,521.82,8.4209,392,38.9,23.2926,125
3,642.74,1403.29,552.79,47.51,521.52,8.4497,393,38.88,23.1812,125
4,642.76,1406.11,552.13,47.68,521.25,8.4405,393,38.86,23.2371,125
5,643.13,1409.34,553.61,47.53,521.5,8.4029,392,38.88,23.2975,125
6,642.55,1418.06,552.32,47.55,521.07,8.4505,394,38.86,23.2799,125
7,642.86,1404.52,553.54,47.28,521.14,8.4438,392,38.71,23.3545,125
8,642.75,1407.11,552.97,47.38,521.9,8.4281,394,38.71,23.2232,125
9,643.01,1413.87,552.61,47.53,521.17,8.4758,392,38.94,23.2721,125
10,642.57,1406.7,553.56,47.59,521.1,8.4599,395,38.76,23.2683,125
11,642.3,1419.87,554.04,47.69,521.0,8.4549,392,38.81,23.2842,125
12,643.02,1406.39,553.47,47.65,521.18,8.4522,394,39.04,23.2671,125
13,642.46,1407.31,553.57,47.35,521.36,8.4268,395,38.67,23.357,125
14,642.44,1413.77,553.13,47.53,521.1,8.4481,394,38.82,23.3671,125
15,642.61,1411.97,553.06,47.62,521.48,8.4934,390,38.6,23.3259,125
16,641.82,1410.4,553.15,47.57,522.08,8.4631,392,38.78,23.2899,125
17,642.61,1403.1,553.48,47.62,521.25,8.4208,392,38.82,23.2522,125
18,642.2,1409.63,552.95,47.71,521.19,8.4579,393,38.98,23.2242,125
19,642.32,1406.79,553.75,47.61,521.0,8.4433,392,38.88,23.2057,125
20,643.33,1405.38,553.09,47.41,521.75,8.4265,395,38.89,23.2556,125
21,642.74,1400.16,553.73,47.51,520.86,8.4506,392,38.84,23.3172,125
22,642.68,1412.59,553.2,47.6,521.51,8.4327,394,38.91,23.2675,125
23,643.08,1415.98,553.14,47.54,521.28,8.4517,392,38.87,23.1853,125
24,642.92,1406.58,552.85,47.53,521.63,8.4348,391,38.9,23.3129,125
25,642.85,1410.56,553.29,47.73,521.75,8.4432,393,38.78,23.2746,125
26,642.23,1405.69,553.07,47.38,521.88,8.4056,394,38.88,23.2902,124
27,642.83,1413.37,553.4,47.57,520.65,8.4211,393,38.69,23.2324,123
28,642.14,1411.85,553.68,47.43,520.94,8.4334,393,38.79,23.2601,122
29,642.89,1407.7,553.01,47.57,521.34,8.4479,392,38.92,23.3099,121
30,643.08,1400.07,552.45,47.59,521.26,8.4222,393,38.81,23.3215,120
31,642.63,1410.45,553.64,47.59,521.59,8.4893,393,38.8,23.3203,119
32,642.87,1413.85,552.92,47.42,521.58,8.4686,394,38.73,23.2709,118
33,642.11,1416.52,552.9,47.59,521.03,8.4675,394,38.92,23.3081,117
34,642.38,1406.27,552.76,47.67,520.91,8.4364,395,38.85,23.2625,116
35,642.79,1411.73,553.56,47.64,521.09,8.471,393,38.67,23.2182,115
36,643.05,1414.51,553.27,47.5,521.37,8.4597,393,38.71,23.2801,114
37,642.86,1409.9,553.36,47.65,521.28,8.4143,394,38.83,23.2904,113
38,642.91,1403.91,552.94,47.29,521.18,8.4479,393,38.85,23.2445,112
39,642.67,1409.08,553.02,47.55,522.13,8.4429,394,38.82,23.2915,111
40,642.33,1409.73,553.2,47.59,521.64,8.414,394,38.91,23.2884,110
41,643.64,1415.03,552.39,47.58,521.33,8.4514,392,38.82,23.2971,109
42,642.45,1413.96,553.39,47.57,521.01,8.4001,393,38.82,23.2418,108
43,642.12,1404.92,553.1,47.53,520.99,8.4519,393,38.8,23.2719,107
44,642.83,1412.23,553.81,47.47,521.38,8.4808,393,38.81,23.2559,106
45,642.7,1406.87,553.18,47.38,520.97,8.3967,391,38.81,23.2896,105
46,642.66,1407.98,553.09,47.58,521.52,8.4308,393,38.76,23.274,104
47,643.19,1409.66,552.66,47.49,521.09,8.4617,395,38.83,23.2846,103
48,643.16,1410.66,553.5,47.62,521.2,8.4126,393,38.66,23.3099,102
49,642.47,1408.45,553.69,47.81,521.69,8.4282,394,38.78,23.2095,101
50,642.46,1418.47,553.05,47.58,520.84,8.4453,393,38.71,23.2612,100
51,642.3,1408.48,552.96,47.66,521.17,8.4715,395,38.86,23.2719,99
52,642.91,1411.15,553.42,47.58,521.03,8.4327,394,38.87,23.2967,98
53,642.44,1408.73,553.37,47.54,521.1,8.4654,392,38.77,23.2592,97
54,642.8,1408.64,553.38,47.79,521.49,8.4623,394,38.78,23.2773,96
55,642.55,1409.0,552.31,47.61,521.12,8.4465,393,38.76,23.3119,95
56,642.79,1412.93,553.19,47.59,522.12,8.4121,394,38.92,23.367,94
57,642.51,1405.68,552.52,47.45,520.87,8.4585,392,38.71,23.2328,93
58,642.54,1415.49,553.74,47.66,520.79,8.5176,393,38.62,23.2355,92
59,642.73,1403.96,552.83,47.69,521.76,8.4526,393,38.9,23.3387,91
60,642.89,1413.38,552.45,47.7,521.52,8.4372,393,38.75,23.2112,90
61,642.36,1410.45,553.78,47.51,521.35,8.4707,393,38.77,23.2598,89
62,642.93,1406.65,552.12,47.55,520.66,8.4369,393,38.74,23.1837,88
63,642.38,1411.87,552.76,47.69,520.88,8.4405,394,38.9,23.3115,87
64,643.04,1403.83,552.8,47.82,521.23,8.4649,394,38.76,23.1794,86
65,642.33,1411.72,553.15,47.63,521.07,8.4577,393,38.75,23.3226,85
66,642.65,1410.23,553.33,47.79,520.67,8.4809,393,38.84,23.2782,84
67,643.01,1416.24,553.62,47.79,521.34,8.4402,394,38.8,23.3558,83
68,642.59,1409.46,554.02,47.55,520.95,8.4435,394,38.88,23.2831,82
69,643.06,1411.5,553.19,47.57,520.99,8.4424,396,38.79,23.2364,81
70,643.09,1409.85,553.02,47.59,520.88,8.4531,394,38.68,23.2438,80
71,642.27,1411.2,553.02,47.76,521.64,8.4414,393,38.83,23.2851,79
72,642.79,1412.92,553.02,47.55,521.07,8.4352,395,38.8,23.255,78
73,642.76,1412.9,552.98,47.7,521.71,8.4614,393,38.81,23.3273,77
74,643.27,1406.93,553.28,47.55,520.98,8.4337,394,38.79,23.2157,76
75,642.42,1413.75,553.24,47.46,520.76,8.4466,392,38.77,23.1397,75
76,642.69,1411.06,553.56,47.57,521.17,8.4635,394,38.71,23.2871,74
77,642.83,1415.54,552.76,47.68,520.77,8.4474,394,38.82,23.2749,73
78,643.06,1412.77,553.07,47.63,520.97,8.4951,393,38.78,23.2729,72
79,643.18,1408.65,552.55,47.64,520.42,8.4716,392,38.91,23.2468,71
80,643.09,1421.86,552.97,47.6,520.82,8.4046,394,38.69,23.1655,70
81,642.44,1418.07,553.13,47.59,520.64,8.4418,394,38.75,23.1679,69
82,643.11,1406.94,552.63,47.77,521.23,8.4673,395,38.67,23.3798,68
83,642.79,1406.93,553.02,47.66,521.38,8.4569,394,38.88,23.1633,67
84,642.91,1416.91,553.39,47.68,520.84,8.4446,394,38.68,23.3456,66
85,643.53,1419.03,553.03,47.71,521.2,8.4391,394,38.51,23.2252,65
86,643.57,1411.11,552.65,47.73,521.32,8.5072,395,38.8,23.2706,64
87,643.13,1419.41,553.26,47.69,521.01,8.4485,394,38.7,23.1939,63
88,643.0,1413.99,552.58,47.78,520.49,8.4636,395,38.85,23.2395,62
89,642.89,1414.77,552.99,47.53,521.37,8.4684,393,38.75,23.2629,61
90,643.04,1419.66,553.63,47.76,520.86,8.4657,395,38.75,23.175,60
91,642.85,1418.09,553.31,47.61,521.1,8.4363,392,38.81,23.1856,59
92,643.22,1406.32,553.52,47.68,520.76,8.4885,393,38.64,23.2741,58
93,642.64,1412.99,553.25,47.59,521.29,8.4484,394,38.68,23.2533,57
94,642.83,1413.58,553.19,47.68,520.82,8.4551,394,38.72,23.2282,56
95,643.23,1414.15,552.31,47.74,520.93,8.4869,395,38.72,23.3197,55
96,642.87,1410.75,553.64,47.69,521.23,8.4842,393,38.81,23.1988,54
97,643.24,1414.96,552.79,47.89,521.04,8.4235,392,38.85,23.2346,53
98,642.84,1414.43,552.63,47.59,520.74,8.4813,393,38.71,23.2744,52
99,642.14,1416.42,552.48,47.82,520.74,8.4653,394,38.73,23.1774,51
100,642.33,1418.78,552.73,47.72,520.59,8.4532,394,38.75,23.1026,50
101,643.11,1421.21,552.64,47.75,520.9,8.4646,395,38.61,23.2687,49
102,643.14,1413.48,552.27,47.73,520.79,8.4561,394,38.85,23.2557,48
103,642.76,1411.03,553.11,47.78,521.19,8.4837,395,38.76,23.2683,47
104,642.77,1418.79,552.61,47.78,520.55,8.4563,393,38.87,23.1385,46
105,642.64,1411.94,552.67,47.88,521.02,8.4851,393,38.7,23.1946,45
106,642.74,1412.29,551.51,47.95,520.45,8.4651,394,38.67,23.2594,44
107,642.93,1420.11,552.75,47.62,520.88,8.4555,395,38.8,23.2435,43
108,642.82,1422.19,552.51,47.79,520.9,8.4884,394,38.74,23.326,42
109,642.9,1412.1,553.13,47.71,520.22,8.4915,394,38.85,23.2791,41
110,643.46,1413.93,552.65,47.76,520.72,8.4961,393,38.54,23.1857,40
111,643.11,1416.05,552.42,47.75,520.7,8.4449,394,38.53,23.1757,39
112,642.9,1415.73,552.87,47.57,520.56,8.4972,395,38.64,23.1456,38
113,643.23,1410.46,552.1,47.87,520.39,8.4561,394,38.76,23.0927,37
114,642.96,1415.05,552.75,47.76,520.3,8.4579,393,38.58,23.298,36
115,642.73,1415.49,552.46,47.8,521.21,8.4614,395,38.66,23.2599,35
116,643.29,1419.78,552.68,47.82,520.71,8.4766,395,38.69,23.135,34
117,643.14,1419.89,553.04,47.9,520.5,8.4805,392,38.45,23.1152,33
118,642.94,1411.35,552.14,47.86,520.68,8.4706,394,38.53,23.2868,32
119,643.38,1416.89,552.61,47.85,520.71,8.4645,395,38.68,23.2805,31
120,643.44,1417.09,552.39,47.88,520.37,8.4552,395,38.7,23.1677,30
121,642.98,1417.41,551.98,47.95,520.03,8.4754,394,38.56,23.2132,29
122,643.37,1422.75,551.66,48.04,520.64,8.499,394,38.77,23.0424,28
123,643.81,1419.95,552.67,47.9,520.15,8.5019,394,38.74,23.1333,27
124,643.09,1419.7,552.14,48.0,520.3,8.4902,396,38.39,23.1939,26
125,643.84,1424.0,552.24,47.99,520.68,8.4807,396,38.58,23.1815,25
126,643.15,1420.01,552.09,47.9,520.26,8.5094,395,38.51,23.1537,24
127,643.53,1416.81,551.79,48.0,520.69,8.4798,395,38.63,23.2215,23
128,643.34,1427.67,552.07,47.82,520.42,8.5034,394,38.66,23.1302,22
129,642.87,1418.54,551.82,47.92,520.58,8.5285,396,38.49,23.1441,21
130,642.95,1414.35,551.52,47.9,520.36,8.5072,394,38.62,23.0666,20
131,643.48,1425.47,552.09,48.09,520.13,8.5098,395,38.58,23.0893,19
132,643.55,1419.07,551.32,47.84,520.05,8.4999,392,38.79,23.1495,18
133,643.8,1416.24,551.83,48.08,520.16,8.5008,395,38.42,23.176,17
134,642.5,1425.3,552.06,48.0,520.47,8.4511,395,38.54,23.0978,16
135,643.22,1422.09,551.91,47.89,519.78,8.4724,395,38.55,23.1053,15
136,643.55,1418.93,551.63,47.98,519.88,8.5125,396,38.68,23.0878,14
137,643.38,1424.6,551.17,48.14,520.01,8.4309,396,38.47,23.1214,13
138,643.68,1429.13,551.7,47.98,519.97,8.5054,396,38.43,23.1086,12
139,642.78,1424.37,551.96,48.13,520.39,8.5068,397,38.4,23.1321,11
140,643.53,1419.01,551.5,48.07,520.25,8.4966,395,38.61,23.0681,10
141,643.46,1422.62,551.19,48.01,521.63,8.5023,395,38.58,23.0706,9
142,643.23,1427.03,551.86,48.17,519.92,8.5348,395,38.48,23.0716,8
143,643.44,1426.08,551.38,48.13,519.85,8.522,395,38.86,23.0465,7
144,642.5,1422.82,551.29,48.02,519.92,8.5229,394,38.47,23.1225,6
145,643.6,1427.14,551.32,47.98,521.63,8.4846,395,38.46,23.1502,5
146,643.49,1421.14,551.4,47.46,520.01,8.5184,396,38.51,23.3222,4
147,643.32,1429.5,553.62,47.46,519.62,8.4701,396,38.42,23.1565,3
148,643.43,1421.3,551.73,48.13,519.87,8.4914,395,38.59,23.0631,2
149,643.87,1428.29,553.62,48.09,521.63,8.518,396,38.86,23.0808,1
150,643.87,1409.01,553.62,47.46,519.57,8.4309,394,38.86,23.051,0
1,642.18,1396.22,554.35,47.09,522.34,8.402,391,39.04,23.5349,125
2,641.91,1394.7,554.85,47.12,523.03,8.4331,392,38.97,23.4335,125
3,642.5,1396.79,554.75,47.12,522.63,8.4028,391,39.09,23.4296,125
4,642.04,1406.4,555.19,47.04,522.85,8.3741,392,38.96,23.5159,125
5,642.06,1400.12,554.84,47.15,522.51,8.3664,390,39.08,23.45,125
6,641.84,1401.32,554.42,47.07,522.54,8.3554,393,38.79,23.4186,125
7,641.66,1400.27,553.55,47.28,522.57,8.3917,392,39.07,23.4575,125
8,641.46,1392.49,553.62,47.37,522.21,8.4011,390,38.86,23.4105,125
9,641.99,1394.58,554.88,47.2,522.35,8.3858,391,39.03,23.5122,125
10,641.77,1391.62,554.37,47.21,522.48,8.4069,391,38.9,23.4672,125
11,642.33,1400.58,553.61,47.16,522.75,8.3929,391,39.08,23.4228,125
12,641.63,1402.16,554.36,47.0,522.56,8.4091,392,38.99,23.4246,125
13,641.97,1399.58,553.84,47.11,522.67,8.3998,392,38.87,23.516,125
14,642.44,1398.28,554.68,47.26,522.4,8.4069,392,39.01,23.445,125
15,641.89,1394.71,555.01,47.11,522.55,8.376,392,39.12,23.4519,125
16,642.18,1400.74,554.3,47.16,523.12,8.3869,390,38.95,23.393,125
17,641.63,1395.4,554.68,47.15,522.69,8.3998,392,39.06,23.3596,125
18,641.7,1396.41,553.78,47.06,522.48,8.4065,391,39.04,23.3688,125
19,641.73,1398.7,554.76,47.2,522.09,8.4425,391,38.95,23.3515,125
20,642.11,1389.2,555.07,47.31,522.41,8.4309,392,39.09,23.3684,125
21,642.03,1394.42,554.75,47.29,522.86,8.3922,392,39.06,23.4057,125
22,642.25,1399.51,554.39,47.12,522.11,8.404,391,38.97,23.4904,125
23,642.5,1402.96,554.57,47.24,522.27,8.3777,390,38.89,23.3659,125
24,642.04,1394.39,553.95,47.17,522.36,8.3681,393,39.03,23.3478,125
25,642.2,1397.22,554.44,47.14,522.29,8.3869,390,39.03,23.4795,125
26,642.72,1396.74,555.45,47.15,522.82,8.3875,392,38.94,23.4496,125
27,642.55,1395.38,554.34,47.08,522.77,8.3595,392,39.03,23.4669,125
28,641.88,1396.46,555.12,47.35,522.24,8.3847,390,39.19,23.494,125
29,642.17,1398.25,554.2,47.06,522.32,8.3925,392,39.02,23.4314,125
30,641.96,1396.4,554.62,47.17,522.49,8.4135,391,39.08,23.4083,125
31,642.33,1393.67,554.49,47.08,522.58,8.4265,391,39.13,23.4235,125
32,641.89,1390.48,554.32,47.44,522.74,8.3919,391,38.96,23.4849,125
33,642.02,1395.64,554.07,47.19,522.74,8.3858,392,38.84,23.3714,125
34,642.09,1405.48,553.88,47.1,522.59,8.4059,391,39.03,23.4291,125
35,642.02,1400.73,554.69,47.02,522.59,8.4298,391,39.09,23.4587,125
36,641.85,1396.31,553.95,47.12,522.53,8.4095,390,38.94,23.4388,125
37,642.35,1397.08,553.84,47.26,522.19,8.392,391,38.88,23.3842,125
38,641.74,1393.55,555.04,47.03,521.87,8.3881,392,38.84,23.4311,125
39,642.51,1400.47,554.35,47.2,522.19,8.3689,391,39.09,23.425,125
40,642.38,1393.79,554.12,47.05,522.1,8.3714,391,39.07,23.4292,125
41,642.23,1392.08,554.44,47.13,522.4,8.4108,392,39.1,23.3787,125
42,642.19,1397.76,554.15,47.45,521.99,8.4152,392,39.14,23.3315,125
43,642.21,1395.74,554.44,47.16,522.39,8.4003,392,39.04,23.4445,125
44,642.03,1397.21,554.0,47.19,522.58,8.4301,391,38.92,23.4561,125
45,641.91,1395.2,554.05,47.09,522.02,8.3795,392,38.99,23.4097,125
46,642.02,1403.72,554.78,47.24,523.04,8.4083,392,38.85,23.4921,125
47,642.14,1401.14,554.72,47.17,522.58,8.3744,390,38.99,23.4631,125
48,642.36,1394.15,554.9,46.88,523.07,8.3843,391,38.92,23.4633,125
49,642.42,1393.84,554.33,47.23,522.77,8.3966,393,38.98,23.4048,125
50,641.95,1396.96,554.37,47.31,523.02,8.421,393,38.99,23.2776,125
51,641.85,1394.64,554.39,47.22,521.79,8.4122,391,39.12,23.3401,125
52,641.79,1390.75,554.92,47.26,522.06,8.3951,391,39.09,23.427,125
53,641.9,1394.15,554.88,47.09,522.0,8.3714,392,38.99,23.4471,125
54,642.36,1389.74,554.28,47.23,522.81,8.3968,391,39.09,23.4496,125
55,642.27,1400.69,554.74,47.15,522.81,8.4109,391,39.02,23.3817,125
56,642.01,1397.74,554.13,47.18,522.78,8.4563,393,38.92,23.4822,125
57,642.44,1398.72,554.86,47.12,522.45,8.3993,392,39.05,23.3403,125
58,642.62,1402.6,554.52,47.27,522.41,8.4227,392,38.92,23.4016,125
59,642.14,1401.5,554.46,47.06,522.63,8.4091,391,39.11,23.4678,125
60,642.54,1398.98,553.98,47.33,522.21,8.4107,391,38.93,23.4029,125
61,642.27,1389.95,555.0,47.18,522.54,8.4093,392,39.01,23.3036,125
62,642.3,1396.13,554.45,47.34,521.74,8.3948,392,39.05,23.4236,125
63,642.62,1393.77,554.42,47.19,522.27,8.4121,391,38.95,23.3899,125
64,641.99,1398.39,554.98,47.18,521.97,8.3769,391,38.96,23.3703,125
65,642.64,1400.38,554.36,47.31,522.63,8.4003,391,39.06,23.3906,125
66,642.2,1394.61,554.37,47.08,522.31,8.4314,392,39.05,23.387,125
67,641.9,1403.17,554.07,47.2,522.56,8.4011,393,39.05,23.4275,125
68,642.07,1399.61,554.41,47.19,521.7,8.3892,391,38.93,23.4194,125
69,642.04,1392.73,554.73,47.36,521.99,8.4043,392,38.96,23.3616,125
70,641.94,1398.8,553.79,47.34,522.29,8.3855,391,39.17,23.4468,125
71,641.82,1407.83,554.27,47.39,522.06,8.3736,391,38.94,23.3084,125
72,641.85,1406.79,554.34,47.17,522.22,8.4274,392,38.9,23.4287,125
73,641.8,1399.71,554.45,47.27,521.68,8.3972,392,38.96,23.3687,125
74,642.33,1400.1,554.15,47.14,522.13,8.3887,392,38.86,23.5318,125
75,642.81,1406.51,554.04,47.26,522.57,8.3924,391,39.01,23.3706,125
76,642.01,1400.42,554.23,47.24,522.24,8.403,391,38.77,23.3159,125
77,642.03,1404.25,554.24,47.2,522.74,8.4063,392,39.03,23.3879,124
78,641.81,1406.3,554.52,47.18,522.23,8.3749,391,39.09,23.4532,123
79,642.22,1392.83,554.18,47.25,522.58,8.4097,390,39.0,23.4879,122
80,641.88,1400.68,554.89,47.33,522.78,8.4186,392,38.99,23.4188,121
81,642.16,1399.24,554.03,47.23,522.25,8.4188,392,38.84,23.4484,120
82,642.17,1402.04,554.26,47.26,522.01,8.4205,392,39.13,23.3747,119
83,641.76,1397.5,554.15,47.17,521.97,8.4005,392,38.83,23.4324,118
84,642.1,1398.43,555.01,47.34,522.16,8.3936,394,38.87,23.3995,117
85,641.95,1400.9,553.89,47.21,522.73,8.4401,393,39.02,23.3644,116
86,641.67,1403.43,553.78,47.31,522.22,8.4162,392,39.16,23.4124,115
87,642.34,1392.08,553.78,47.24,522.91,8.3987,391,38.99,23.3438,114
88,641.71,1398.54,553.98,47.36,522.2,8.3972,392,38.97,23.4347,113
89,642.21,1399.66,554.21,47.15,522.37,8.3678,392,39.03,23.3618,112
90,642.44,1401.57,554.56,47.13,522.23,8.3955,392,39.06,23.2989,111
91,642.05,1405.67,554.48,47.26,522.54,8.3967,391,38.91,23.3828,110
92,642.02,1399.92,554.41,47.36,522.54,8.3487,392,38.97,23.4963,109
93,642.08,1405.21,553.49,47.26,522.51,8.3908,390,38.97,23.4075,108
94,642.05,1401.46,554.6,47.41,522.31,8.3753,392,39.13,23.4523,107
95,642.38,1395.08,553.67,47.18,522.39,8.4258,392,39.13,23.3849,106
96,642.41,1397.68,554.18,47.35,521.87,8.4256,391,39.03,23.4274,105
97,642.41,1404.15,554.51,47.3,521.99,8.387,391,39.09,23.3229,104
98,642.75,1400.38,553.98,47.28,522.05,8.4246,393,38.99,23.4708,103
99,642.39,1400.32,554.47,47.19,522.45,8.4133,391,38.79,23.3398,102
100,642.24,1394.51,553.9,47.12,522.18,8.4205,393,38.99,23.4565,101
101,642.47,1401.94,554.71,47.33,521.98,8.4567,394,38.99,23.3922,100
102,642.33,1396.58,554.31,47.3,522.19,8.3901,391,38.94,23.3951,99
